-10000, -10000, 251123
-10000, -10000, 252123
-10000, -10000, 254423
-10000, -10000, 263823
-10000, -10000, 276723
-10000, -10000, 452623
-10000, -10000, 587223
-10000, -10000, 964623
-10000, -8849, 251523
-10000, -8849, 46723
-10000, -8849, 46923
-10000, -8965, 260723
-10000, -8972, 263823
-10000, -9740, 263023
-10000, -9740, 263823
-10000, -9745, 254223
-10000, -9774, 808023
-10000, -9873, 251623
-10000, -9873, 263823
-10000, -9920, 715223
-10000, -9953, 715223
-10000, -9985, 247423
-10000, -9990, 251523
-10000, -9990, 263323
-10000, -9996, 257423
-10000, -9999, 259323
-10000, -9999, 341023
-10000, 1822, -1000023
-10000, 1822, 182223
-10000, 207, -326723
-10000, 207, -997423
-10000, 207, -999023
-10000, 2511, -1000023
-10000, 2515, -884923
-10000, 2515, -891223
-10000, 2516, -447123
-10000, 2517, -1000023
-10000, 2633, -995923
-10000, 590, -1000023
-10000, 6384, -993623
-10000, 7052, 705223
-1614, 2671, -987323
-1686, 3152, -731323
-1731, 2515, -886523
-1747, -8972, 263823
-2714, -8972, 263823
-2828, 2539, -280423
-3283, 2638, -897223
-3283, 2638, -948423
-3506, 2546, -1000023
-3605, 5449, -987323
-3742, -3742, 430323
-3742, -3742, 448323
-401, 7736, -1000023
-401, 7768, -1000023
-4089, -8849, 251523
-4089, 2515, -884923
-4141, 2515, 263823
-4256, 2466, -425623
-4346, -4358, 251523
-4468, -4468, 734123
-4468, -4468, 799023
-4468, -4713, 251523
-4468, -7313, 156523
-4468, -7430, 251523
-4468, -8972, 263823
-4468, -8972, 343923
-4468, 2638, -1000023
-4468, 2643, -884923
-4468, 495, -446823
-4468, 495, -897223
-4470, 2638, -1000023
-4478, 2521, -1000023
-4596, -8972, 263823
-4596, 2521, -1000023
-4641, -4468, 276323
-4665, 2622, -466523
-4713, 2515, -40123
-4713, 2515, -884923
-4713, 2531, -884923
-4713, 2553, -1000023
-4713, 2553, -884923
-4717, 2638, -446823
-4719, 2638, -1000023
-4719, 2638, -980923
-4722, -4468, 734123
-4722, 2638, -1000023
-4722, 2669, -987323
-4723, -9489, 24423
-4723, -9489, 49523
-4723, -9786, 499623
-4753, 2515, -1000023
-4980, -4470, 156523
-4980, -7313, 156523
-5231, -8849, 263823
-5250, 2896, -1000023
-5363, 3162, -1000023
-5403, 2572, -1000023
-5421, 2642, -884523
-5496, 2638, -1000023
-5496, 3031, -1000023
-5496, 3031, -999023
-5496, 3150, -1000023
-5512, -2646, 301823
-5609, 1358, -1000023
-5618, -8849, 263823
-5618, -8940, 263823
-5618, 5454, -987323
-5619, 2901, -894023
-5619, 5454, -987323
-5737, 2757, -594223
-5743, 2638, 263823
-5872, -10000, 251123
-5876, -10000, 301823
-5888, 768, -1000023
-5927, 2515, -884923
-5957, -7436, 263923
-6066, 2604, -1000023
-6088, -7154, 251523
-6289, -8972, 251523
-6511, 2636, -651123
-6511, 2638, -651123
-6516, 6383, -993723
-6545, 2766, -446823
-656, -8972, 263823
-657, 5231, -1000023
-6701, 2927, -987323
-6899, -5496, 289523
-6934, 2604, -718923
-6934, 2762, 315023
-7180, 2927, -987323
-7184, 1822, -1000023
-7198, 5198, -1000023
-7208, 2683, -1000023
-7310, -8970, 263823
-7310, -8972, 263823
-7313, -8460, 263823
-7313, -8849, 263823
-7313, -8908, 263823
-7313, -8918, 263823
-7313, -8956, 263823
-7313, -8972, 200323
-7313, -8972, 251123
-7313, -8972, 251523
-7313, -8972, 257423
-7313, -8972, 263823
-7313, -8972, 267123
-7313, -8972, 275523
-7313, 1268, -1000023
-7313, 2638, -897223
-7313, 2638, -987323
